"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
"49",5.3,3.7,1.5,0.2,"setosa"
"65",5.6,2.9,3.6,1.3,"versicolor"
"74",6.1,2.8,4.7,1.2,"versicolor"
"146",6.7,3,5.2,2.3,"virginica"
"122",5.6,2.8,4.9,2,"virginica"
"150",5.9,3,5.1,1.8,"virginica"
"128",6.1,3,4.9,1.8,"virginica"
"47",5.1,3.8,1.6,0.2,"setosa"
"24",5.1,3.3,1.7,0.5,"setosa"
"71",5.9,3.2,4.8,1.8,"versicolor"
"100",5.7,2.8,4.1,1.3,"versicolor"
"89",5.6,3,4.1,1.3,"versicolor"
"110",7.2,3.6,6.1,2.5,"virginica"
"20",5.1,3.8,1.5,0.3,"setosa"
"114",5.7,2.5,5,2,"virginica"
"111",6.5,3.2,5.1,2,"virginica"
"131",7.4,2.8,6.1,1.9,"virginica"
"41",5,3.5,1.3,0.3,"setosa"
"139",6,3,4.8,1.8,"virginica"
"27",5,3.4,1.6,0.4,"setosa"
"109",6.7,2.5,5.8,1.8,"virginica"
"5",5,3.6,1.4,0.2,"setosa"
"84",6,2.7,5.1,1.6,"versicolor"
"34",5.5,4.2,1.4,0.2,"setosa"
"92",6.1,3,4.6,1.4,"versicolor"
"104",6.3,2.9,5.6,1.8,"virginica"
"3",4.7,3.2,1.3,0.2,"setosa"
"58",4.9,2.4,3.3,1,"versicolor"
"97",5.7,2.9,4.2,1.3,"versicolor"
"42",4.5,2.3,1.3,0.3,"setosa"
"142",6.9,3.1,5.1,2.3,"virginica"
"30",4.7,3.2,1.6,0.2,"setosa"
"43",4.4,3.2,1.3,0.2,"setosa"
"15",5.8,4,1.2,0.2,"setosa"
"22",5.1,3.7,1.5,0.4,"setosa"
"123",7.7,2.8,6.7,2,"virginica"
"8",5,3.4,1.5,0.2,"setosa"
"36",5,3.2,1.2,0.2,"setosa"
"68",5.8,2.7,4.1,1,"versicolor"
"86",6,3.4,4.5,1.6,"versicolor"
"18",5.1,3.5,1.4,0.3,"setosa"
"130",7.2,3,5.8,1.6,"virginica"
"126",7.2,3.2,6,1.8,"virginica"
"69",6.2,2.2,4.5,1.5,"versicolor"
"4",4.6,3.1,1.5,0.2,"setosa"
"98",6.2,2.9,4.3,1.3,"versicolor"
"50",5,3.3,1.4,0.2,"setosa"
"99",5.1,2.5,3,1.1,"versicolor"
"88",6.3,2.3,4.4,1.3,"versicolor"
"87",6.7,3.1,4.7,1.5,"versicolor"
"145",6.7,3.3,5.7,2.5,"virginica"
"26",5,3,1.6,0.2,"setosa"
"6",5.4,3.9,1.7,0.4,"setosa"
"105",6.5,3,5.8,2.2,"virginica"
"2",4.9,3,1.4,0.2,"setosa"
"124",6.3,2.7,4.9,1.8,"virginica"
"21",5.4,3.4,1.7,0.2,"setosa"
"96",5.7,3,4.2,1.2,"versicolor"
"115",5.8,2.8,5.1,2.4,"virginica"
"10",4.9,3.1,1.5,0.1,"setosa"
"40",5.1,3.4,1.5,0.2,"setosa"
"129",6.4,2.8,5.6,2.1,"virginica"
"33",5.2,4.1,1.5,0.1,"setosa"
"140",6.9,3.1,5.4,2.1,"virginica"
"73",6.3,2.5,4.9,1.5,"versicolor"
"29",5.2,3.4,1.4,0.2,"setosa"
"76",6.6,3,4.4,1.4,"versicolor"
"9",4.4,2.9,1.4,0.2,"setosa"
"35",4.9,3.1,1.5,0.2,"setosa"
"16",5.7,4.4,1.5,0.4,"setosa"
"107",4.9,2.5,4.5,1.7,"virginica"
"93",5.8,2.6,4,1.2,"versicolor"
"120",6,2.2,5,1.5,"virginica"
"138",6.4,3.1,5.5,1.8,"virginica"
"80",5.7,2.6,3.5,1,"versicolor"
"55",6.5,2.8,4.6,1.5,"versicolor"
"90",5.5,2.5,4,1.3,"versicolor"
"94",5,2.3,3.3,1,"versicolor"
"57",6.3,3.3,4.7,1.6,"versicolor"
"121",6.9,3.2,5.7,2.3,"virginica"
"77",6.8,2.8,4.8,1.4,"versicolor"
"13",4.8,3,1.4,0.1,"setosa"
"53",6.9,3.1,4.9,1.5,"versicolor"
"54",5.5,2.3,4,1.3,"versicolor"
"32",5.4,3.4,1.5,0.4,"setosa"
"60",5.2,2.7,3.9,1.4,"versicolor"
"85",5.4,3,4.5,1.5,"versicolor"
"17",5.4,3.9,1.3,0.4,"setosa"
"44",5,3.5,1.6,0.6,"setosa"
"83",5.8,2.7,3.9,1.2,"versicolor"
"72",6.1,2.8,4,1.3,"versicolor"
"135",6.1,2.6,5.6,1.4,"virginica"
"118",7.7,3.8,6.7,2.2,"virginica"
"149",6.2,3.4,5.4,2.3,"virginica"
"48",4.6,3.2,1.4,0.2,"setosa"
"136",7.7,3,6.1,2.3,"virginica"
"64",6.1,2.9,4.7,1.4,"versicolor"
"38",4.9,3.6,1.4,0.1,"setosa"
"1",5.1,3.5,1.4,0.2,"setosa"
"144",6.8,3.2,5.9,2.3,"virginica"
